ticker,sentiment,lastSentiment,sentimentChange,rank,name,price,change,changePercent,volume,marketCap,previousVolume,previousClose
CRDF,19.346875,39.55357143,-51.08690745,125,"Cardiff Oncology, Inc.",2.96,0,0,1911531,128185941,1263930,2.65
LOCL,14.38181818,29.1825,-50.71766236,126,Local Bounti Corporation,3.78,0,0,147399,355719746,353967,4.04
WWE,9.481465517,19.18791667,-50.58626905,127,"World Wrestling Entertainment, Inc.",63.5,0.01,0.00016,533533,2745697873,921459,62.12
PTRA,6.206140351,12.43461538,-50.0898085,128,Proterra Inc.,4.7,-0.09,-0.01879,1384114,1068170000,2030615,4.79
BFRI,2.821180556,5.555555556,-49.21875,129,Biofrontera Inc.,1.83,-0.02,-0.01081,197622,35066286,115549,1.83
AA,5.004141577,9.822358651,-49.05356489,130,Alcoa Corporation,42.66,0.03,0.0007,8640691,7863047484,7444969,42.09
DATS,10.86269841,21.0125,-48.30363635,131,"DatChat, Inc.",1.1,0.01,0.00917,256290,21361187,212859,1.15
ERIC,5.2375,10.12638889,-48.27869977,132,Telefonaktiebolaget LM Ericsson (publ),7.46,0.04,0.00539,6806019,22797176480,6037039,7.37
SLAB,10.33333333,19.88854167,-48.04378568,133,Silicon Laboratories Inc.,121.33,0,0,545779,4438322257,1086539,119.29
VXX,2.875949546,5.516117424,-47.86279324,134,iPath Series B S&P 500 VIX Short-Term Futures ETN,22.31,0.15,0.00677,1787243,0,2544805,22.55
BKKT,10.16990476,19.31818182,-47.35578711,135,"Bakkt Holdings, Inc.",2.36,0,0,2632961,177631116,2547837,2.31
R,3.588065964,6.769191919,-46.99417586,136,"Ryder System, Inc.",70.16,0,0,669173,3587749469,260906,71.3
VAC,18.57051282,35,-46.94139194,137,Marriott Vacations Worldwide Corporation,114.37,0,0,824702,4738586990,525296,120.45
UPST,5.025326716,9.458302572,-46.86861963,138,"Upstart Holdings, Inc.",33.05,-0.04,-0.00121,5702359,2805162527,5203698,35.46
