ticker,sentiment,lastSentiment,sentimentChange,rank,name,price,change,changePercent,volume,marketCap,previousVolume,previousClose
EMB,10.772058823529406,7.218817204301087,49.22193648443185,136,iShares J.P. Morgan USD Emerging Markets Bond ETF,85.24,0.46,0.00543,5243184,13920876000,4720087.0,85.47
DIS,12.47668428358828,8.403973243068986,48.46173259628337,137,The Walt Disney Company,96.26,0.18,0.00187,8640229,174926457841,10674623.0,97.18
PM,15.722202380952389,10.6758374792703,47.26903075736042,138,Philip Morris International Inc.,95.29,0.29,0.00305,8146608,147260480020,3465511.0,98.08
GFAI,12.716885964912272,8.699999999999996,46.17110304496872,139,Guardforce AI Co Ltd,0.4599,0.0104,0.02314,337435,18599894,306769.0,0.46
WKHS,19.251370370370367,13.273780487804876,45.03306264599847,140,Workhorse Group Inc.,2.79,0.03,0.01087,3380650,451293868,4912062.0,2.76
ROKU,19.608606123688087,13.539284345922265,44.827493261073045,141,"Roku, Inc.",88.6,0.07,0.00079,6309532,11237207804,9164930.0,92.06
MSTR,6.228503506829086,4.317319448181034,44.267839838751556,142,MicroStrategy Incorporated,190.85,2.55,0.01354,635974,1745079477,811426.0,187.68
EL,22.926666666666673,15.910101010100997,44.10132689987953,143,The Estée Lauder Companies Inc.,257.24,0.0,0.0,1317080,93019786738,1114149.0,259.03
TSLA,7.9335597594828,5.508912750355965,44.01316773387205,144,"Tesla, Inc.",695.27,0.07,0.0001,23951210,720498723569,28259704.0,699.2
NOK,18.250708661417335,12.688122362869203,43.840894180108194,145,Nokia Oyj,4.565,0.005,0.0011,27760331,25974950885,39661991.0,4.55
CAN,22.22928603734573,15.481105610561041,43.5897835499627,146,Canaan Inc.,3.4,0.03,0.0089,1473949,559984822,1772803.0,3.46
EH,17.050825825825843,11.902222222222235,43.25749853662473,147,EHang Holdings Limited,9.22,0.33,0.03712,164667,331393143,317639.0,9.23
ARDX,14.49652777777779,10.14645390070923,42.87284917112266,148,"Ardelyx, Inc.",0.6299,0.0065,0.01043,1473876,90142931,1627002.0,0.6113
ILUS,14.435675269956615,10.149496821845826,42.230452635693204,149,Ilustrato Pictures Internationl Inc,0.097,-0.001,-0.0102,8164530,123338478,7289462.0,0.098
IVOL,21.17499999999999,14.972222222222232,41.42857142857126,150,Quadratic Interest Rate Volatility and Inflation Hedge ETF New,25.57,0.0,0.0,184675,1664607000,294915.0,26.42
CCJ,12.836830734243021,9.178380996718992,39.859423343090896,151,Cameco Corporation,20.89,0.0,0.0,5604358,8323251520,5063120.0,21.02
ACY,22.706249999999994,16.266666666666673,39.58760245901629,152,AeroCentury Corp.,2.45,-0.12,-0.0466926,313619,54106048,395215.0,2.57
PAA,17.96708333333332,12.877976190476193,39.51791079269689,153,"Plains All American Pipeline, L.P.",9.77,0.18,0.01877,4968649,6738587827,6828413.0,9.68
AAL,16.351510741510733,11.739009207478945,39.29208549468684,154,American Airlines Group Inc.,13.9,0.01,0.00072,30792616,9021761239,43965446.0,13.88
SU.TO,13.927626050420173,10.066666666666668,38.35390116311428,155,Suncor Energy Inc.,42.43,-0.91,-0.021,7551169,59447112043,6666779.0,43.34
LIFE,19.34047664141414,14.031252419667073,37.83856253847537,156,"aTyr Pharma, Inc.",2.89,0.0,0.0,57453,82625653,58865.0,2.89
DAC,10.44508357915439,7.613190690690685,37.19718845249087,157,Danaos Corporation,59.75,2.37,0.0413,427237,1188726426,453310.0,60.02
DG,23.14746031746031,16.896315566835863,36.99708806868056,158,Dollar General Corporation,251.0,-2.18,-0.00861,1359387,57471105017,1846117.0,250.05
LI,12.102891634565482,8.855631776457674,36.668867225718586,159,Li Auto Inc.,38.34,-0.26,-0.00674,10730009,34647187072,18093927.0,40.0
SOLO,22.233496598639448,16.372911706349203,35.79439624057574,160,Electrameccanica Vehicles Corp.,1.38,0.02,0.01471,585832,161311635,1132309.0,1.38
NVDA,13.122417825129663,9.673479828102828,35.653539970251266,161,NVIDIA Corporation,151.3,0.0,0.0,52906586,378250000000,65220761.0,149.64
SPWR,15.206359649122803,11.24077380952382,35.278584079675326,162,SunPower Corporation,15.98,0.29,0.01848,2200499,2727902217,2538759.0,15.89
IMPP,13.10388792102206,9.710915404040389,34.93978039979597,163,Imperial Petroleum Inc,0.4082,-0.0029,-0.00705,11798640,58720473,13800993.0,0.4066
NICE,55.933521303258146,41.463888888888874,34.896949615950554,164,NICE Ltd.,202.06,-0.26000977,-0.0012851410999999999,301085,12837194752,292818.0,202.32
TLRY,15.982441435437632,11.881680440771358,34.51330824042977,165,"Tilray Brands, Inc.",3.46,-0.04,-0.01143,21705203,1741979624,18102253.0,3.24
AY,15.55079365079366,11.569179894179893,34.41569577992989,166,Atlantica Sustainable Infrastructure plc,33.87,0.69,0.0208,512021,3729530644,574584.0,32.91
KEY,25.192774909160455,18.78589965512667,34.10470284443019,167,KeyCorp,17.25,0.0,0.0,7574952,16085122490,6270557.0,17.38
GOOG,11.553360941566782,8.621195661567715,34.011120906005154,168,Alphabet Inc.,2309.0,4.73,0.00205,1442634,1555776298604,1821469.0,2277.74
YY,18.437499999999996,13.79999999999999,33.60507246376818,169,JOYY Inc.,29.2,0.71,0.02492,748998,1554689272,375247.0,30.85
SHOP,12.124371455769367,9.15504452601883,32.43377922752475,170,Shopify Inc.,33.06,0.02,0.00061,25782266,3981683440,29167805.0,34.0
RMSL,16.54388888888889,12.521428571428572,32.12461177663688,171,"REMSleep Holdings, Inc.",0.028,0.0008,0.029411782999999997,11710512,57295371,13666224.0,0.0272
MSFT,14.431240911812516,10.925937873357228,32.082399507349656,172,Microsoft Corporation,266.13,-0.08,-0.0003,23824419,1990993410868,22971634.0,262.85
